ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Masks
cjuogkgngcvx008717zvzo405,cjuogj49j06380bqpgg9nv54b,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2Fd5a6d81e-ddac-cb1b-6e40-7074c1d17c45-Artery_arriwhite20_fIRon.png,"{""Artery"":[{""geometry"":[{""x"":3,""y"":188},{""x"":504,""y"":217},{""x"":1001,""y"":226},{""x"":1461,""y"":214},{""x"":1919,""y"":190},{""x"":1920,""y"":806},{""x"":1796,""y"":835},{""x"":1642,""y"":868},{""x"":1406,""y"":887},{""x"":943,""y"":873},{""x"":689,""y"":847},{""x"":427,""y"":834},{""x"":369,""y"":827},{""x"":4,""y"":844}]}]}",gliu2@stanford.edu,Multispectral Imaging,1555701605000,1555705050000,43.55,Artery_arriwhite20_fIRon.png,,,,,FreshCadaver001_20190412,"[{""id"":""cjuoimcgyd9g80818792w3fwr"",""score"":1,""createdAt"":""2019-04-19T20:17:32.000Z"",""createdBy"":""jshenson@stanford.edu""}]",https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuogkgngcvx008717zvzo405,"{""Artery"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2drZ25nY3Z4MDA4NzE3enZ6bzQwNSIsImNsYXNzTmFtZSI6IkFydGVyeSIsImlhdCI6MTU1OTc1NDk5NywiZXhwIjoxNzE3NDM0OTk3fQ.ykBpU18rAfAUVCan-ilBSjlbNjRyY4E-bhxQPAiJtxg""}"
cjuogzeppd10008711l79qsiq,cjuogj49k063c0bqpzq1uiu9n,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2F3efec09f-792a-c3cc-0f11-6aadc25fa4ae-Bone_arriwhite20_fIRon.png,"{""Bone"":[{""geometry"":[{""x"":4,""y"":267},{""x"":173,""y"":174},{""x"":277,""y"":120},{""x"":339,""y"":53},{""x"":458,""y"":83},{""x"":587,""y"":63},{""x"":802,""y"":41},{""x"":1009,""y"":55},{""x"":1136,""y"":48},{""x"":1319,""y"":83},{""x"":1519,""y"":262},{""x"":1618,""y"":311},{""x"":1775,""y"":351},{""x"":1905,""y"":668},{""x"":1775,""y"":952},{""x"":1602,""y"":953},{""x"":1533,""y"":932},{""x"":1441,""y"":991},{""x"":1273,""y"":963},{""x"":1166,""y"":957},{""x"":1056,""y"":964},{""x"":945,""y"":1023},{""x"":874,""y"":1070},{""x"":761,""y"":1073},{""x"":647,""y"":1069},{""x"":570,""y"":972},{""x"":407,""y"":895},{""x"":362,""y"":841},{""x"":264,""y"":788},{""x"":174,""y"":727},{""x"":103,""y"":714},{""x"":48,""y"":672},{""x"":1,""y"":675}]}]}",gliu2@stanford.edu,Multispectral Imaging,1555702302000,1555704990000,40.578,Bone_arriwhite20_fIRon.png,,,,,FreshCadaver001_20190412,"[{""id"":""cjuoilh6ic2hu0755lbejkyaz"",""score"":1,""createdAt"":""2019-04-19T20:16:51.000Z"",""createdBy"":""jshenson@stanford.edu""}]",https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuogzeppd10008711l79qsiq,"{""Bone"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2d6ZXBwZDEwMDA4NzExbDc5cXNpcSIsImNsYXNzTmFtZSI6IkJvbmUiLCJpYXQiOjE1NTk3NTQ5OTcsImV4cCI6MTcxNzQzNDk5N30.10sWF1Hwx4U9tq_--Hmv9zBH3PneLXoE0upF9MlFUqY""}"
cjuoh0cnicgq00818oe0czlts,cjuogj49l063g0bqpdue0pwne,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2Ffbd1cca0-da4d-7137-62ed-cc0d717faab3-Cartilage_arriwhite20_fIRon.png,"{""Cartilage"":[{""geometry"":[{""x"":738,""y"":360},{""x"":679,""y"":382},{""x"":673,""y"":441},{""x"":644,""y"":496},{""x"":664,""y"":518},{""x"":640,""y"":594},{""x"":662,""y"":679},{""x"":730,""y"":662},{""x"":801,""y"":641},{""x"":860,""y"":663},{""x"":948,""y"":653},{""x"":1017,""y"":677},{""x"":1099,""y"":695},{""x"":1212,""y"":703},{""x"":1233,""y"":660},{""x"":1272,""y"":670},{""x"":1301,""y"":638},{""x"":1301,""y"":580},{""x"":1264,""y"":492},{""x"":1277,""y"":448},{""x"":1244,""y"":378},{""x"":1201,""y"":327},{""x"":1136,""y"":320},{""x"":1116,""y"":353},{""x"":1100,""y"":403},{""x"":1050,""y"":373},{""x"":1025,""y"":352},{""x"":952,""y"":341},{""x"":897,""y"":354},{""x"":809,""y"":350}]}]}",gliu2@stanford.edu,Multispectral Imaging,1555702346000,1555704910000,42.873,Cartilage_arriwhite20_fIRon.png,,,,,FreshCadaver001_20190412,"[{""id"":""cjuoijexa8yra09989jteqqvf"",""score"":1,""createdAt"":""2019-04-19T20:15:15.000Z"",""createdBy"":""jshenson@stanford.edu""}]",https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuoh0cnicgq00818oe0czlts,"{""Cartilage"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2gwY25pY2dxMDA4MThvZTBjemx0cyIsImNsYXNzTmFtZSI6IkNhcnRpbGFnZSIsImlhdCI6MTU1OTc1NDk5NywiZXhwIjoxNzE3NDM0OTk3fQ.8DngpNKdMZCFBaYmvfMgQJpnoIBU_NEoYc9KtixcbeM""}"
cjuojxjuue0bc081892cyxhua,cjuogj49l063k0bqppew8uvoi,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2Fb5c64de8-3bcc-0c08-fb43-63df2be32bdc-Dura_arriwhite20_fIRon.png,"{""Dura"":[{""geometry"":[{""x"":1,""y"":0},{""x"":291,""y"":4},{""x"":516,""y"":80},{""x"":745,""y"":83},{""x"":829,""y"":34},{""x"":902,""y"":107},{""x"":1017,""y"":3},{""x"":1918,""y"":0},{""x"":1920,""y"":334},{""x"":1782,""y"":688},{""x"":1641,""y"":1076},{""x"":326,""y"":1074},{""x"":72,""y"":620},{""x"":102,""y"":547},{""x"":24,""y"":373},{""x"":20,""y"":297},{""x"":3,""y"":277}]}]}",gliu2@stanford.edu,Multispectral Imaging,1555707254000,1555709235000,63.175,Dura_arriwhite20_fIRon.png,,,,,FreshCadaver001_20190412,"[{""id"":""cjuol40rzaalr0998drm6ypcb"",""score"":1,""createdAt"":""2019-04-19T21:27:16.000Z"",""createdBy"":""jshenson@stanford.edu""}]",https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuojxjuue0bc081892cyxhua,"{""Dura"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2p4anV1ZTBiYzA4MTg5MmN5eGh1YSIsImNsYXNzTmFtZSI6IkR1cmEiLCJpYXQiOjE1NTk3NTQ5OTcsImV4cCI6MTcxNzQzNDk5N30.uiDImRR5AjEttrA1qYUF9QLucXkNxWNbAiSb3xAjgEg""}"
cjuojz54adpn408177pulemyy,cjuogj49l063o0bqpw3oj96ok,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2Fc0f7cc44-f9c2-b9d7-8334-6dc043ddb1b4-Fascia_arriwhite20_fIRon.png,"{""Fascia"":[{""geometry"":[{""x"":610,""y"":35},{""x"":707,""y"":110},{""x"":811,""y"":176},{""x"":988,""y"":176},{""x"":1578,""y"":62},{""x"":1631,""y"":85},{""x"":1694,""y"":300},{""x"":1694,""y"":345},{""x"":1648,""y"":420},{""x"":1694,""y"":607},{""x"":1628,""y"":675},{""x"":1398,""y"":566},{""x"":1338,""y"":614},{""x"":1422,""y"":654},{""x"":1393,""y"":669},{""x"":1352,""y"":673},{""x"":1372,""y"":727},{""x"":1339,""y"":778},{""x"":1283,""y"":788},{""x"":1144,""y"":864},{""x"":994,""y"":925},{""x"":815,""y"":928},{""x"":659,""y"":1010},{""x"":494,""y"":933},{""x"":336,""y"":845},{""x"":228,""y"":841},{""x"":211,""y"":779},{""x"":216,""y"":710},{""x"":171,""y"":666},{""x"":252,""y"":495},{""x"":368,""y"":329}]}]}",gliu2@stanford.edu,Multispectral Imaging,1555707328000,1555709285000,73.989,Fascia_arriwhite20_fIRon.png,,,,,FreshCadaver001_20190412,"[{""id"":""cjuol538cdx2v0987zy5881u5"",""score"":1,""createdAt"":""2019-04-19T21:28:06.000Z"",""createdBy"":""jshenson@stanford.edu""}]",https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuojz54adpn408177pulemyy,"{""Fascia"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2p6NTRhZHBuNDA4MTc3cHVsZW15eSIsImNsYXNzTmFtZSI6IkZhc2NpYSIsImlhdCI6MTU1OTc1NDk5NywiZXhwIjoxNzE3NDM0OTk3fQ.DbCYb6yXekQACSJfdi3xzRFQ4KEVksdPnjlTtiF7d7k""}"
cjuok0iw2cvoq075528cuyl0u,cjuogj49l063s0bqp1sct6n42,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2Fe7a9df44-e38f-dded-c2e3-36e353998730-Fat_arriwhite20_fIRon.png,"{""Fat"":[{""geometry"":[{""x"":559,""y"":0},{""x"":1153,""y"":4},{""x"":1378,""y"":10},{""x"":1484,""y"":52},{""x"":1513,""y"":7},{""x"":1701,""y"":10},{""x"":1799,""y"":82},{""x"":1824,""y"":206},{""x"":1847,""y"":332},{""x"":1782,""y"":556},{""x"":1824,""y"":734},{""x"":1782,""y"":783},{""x"":1633,""y"":824},{""x"":1495,""y"":792},{""x"":1507,""y"":895},{""x"":1473,""y"":1017},{""x"":1353,""y"":1075},{""x"":499,""y"":1078},{""x"":445,""y"":975},{""x"":414,""y"":1031},{""x"":242,""y"":1034},{""x"":187,""y"":992},{""x"":104,""y"":986},{""x"":94,""y"":925},{""x"":54,""y"":885},{""x"":48,""y"":944},{""x"":0,""y"":985},{""x"":0,""y"":598},{""x"":39,""y"":546},{""x"":0,""y"":524},{""x"":1,""y"":463},{""x"":32,""y"":414},{""x"":110,""y"":293},{""x"":172,""y"":256},{""x"":213,""y"":204},{""x"":285,""y"":176},{""x"":305,""y"":128},{""x"":512,""y"":46}]}]}",gliu2@stanford.edu,Multispectral Imaging,1555707393000,1555709340000,63.83,Fat_arriwhite20_fIRon.png,,,,,FreshCadaver001_20190412,"[{""id"":""cjuol69izf71e087142kb4mmq"",""score"":1,""createdAt"":""2019-04-19T21:29:00.000Z"",""createdBy"":""jshenson@stanford.edu""}]",https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuok0iw2cvoq075528cuyl0u,"{""Fat"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2swaXcyY3ZvcTA3NTUyOGN1eWwwdSIsImNsYXNzTmFtZSI6IkZhdCIsImlhdCI6MTU1OTc1NDk5NywiZXhwIjoxNzE3NDM0OTk3fQ.fr22cycfGVs0vQMBtK3m1JJhqjF55NGDyIWc4u05iAc""}"
cjuok1jmf9nna0944uehhj8z5,cjuogj49l063w0bqpx6iu6frd,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2Fcebbcfac-0553-5dbd-12f8-8865fc63e370-Muscle_arriwhite20_fIRon.png,"{""Muscle"":[{""geometry"":[{""x"":35,""y"":0},{""x"":1846,""y"":0},{""x"":1834,""y"":75},{""x"":1915,""y"":236},{""x"":1920,""y"":819},{""x"":1783,""y"":918},{""x"":1724,""y"":1059},{""x"":211,""y"":1059},{""x"":0,""y"":832},{""x"":0,""y"":59}]}]}",gliu2@stanford.edu,Multispectral Imaging,1555707441000,1555707441000,45.877,Muscle_arriwhite20_fIRon.png,,,,,FreshCadaver001_20190412,"[{""id"":""cjuol6evza61t0944i5l8kan3"",""score"":1,""createdAt"":""2019-04-19T21:29:07.000Z"",""createdBy"":""jshenson@stanford.edu""}]",https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuok1jmf9nna0944uehhj8z5,"{""Muscle"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2sxam1mOW5uYTA5NDR1ZWhoajh6NSIsImNsYXNzTmFtZSI6Ik11c2NsZSIsImlhdCI6MTU1OTc1NDk5NywiZXhwIjoxNzE3NDM0OTk3fQ.kGs-u1KhGaFcjqEHi0bv6UuvFwMlRfNICy2NT5BdJ4Y""}"
cjuok3yu7e3wy0818mtb9c1qv,cjuogj49l06400bqpjtfadnsx,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2F2b2ccba3-66f6-a4f0-0689-4cad4b1296bd-Nerve_arriwhite20_fIRon.png,"{""Nerve"":[{""geometry"":[{""x"":1,""y"":622},{""x"":334,""y"":536},{""x"":521,""y"":439},{""x"":640,""y"":331},{""x"":826,""y"":304},{""x"":907,""y"":316},{""x"":983,""y"":306},{""x"":1150,""y"":278},{""x"":1228,""y"":291},{""x"":1370,""y"":245},{""x"":1433,""y"":267},{""x"":1431,""y"":334},{""x"":1441,""y"":423},{""x"":1428,""y"":440},{""x"":1348,""y"":440},{""x"":1322,""y"":406},{""x"":1208,""y"":382},{""x"":1157,""y"":413},{""x"":947,""y"":395},{""x"":812,""y"":419},{""x"":782,""y"":489},{""x"":808,""y"":537},{""x"":875,""y"":618},{""x"":966,""y"":637},{""x"":1031,""y"":631},{""x"":1212,""y"":670},{""x"":1581,""y"":696},{""x"":1827,""y"":692},{""x"":1919,""y"":662},{""x"":1918,""y"":820},{""x"":1236,""y"":790},{""x"":1147,""y"":775},{""x"":1065,""y"":776},{""x"":1003,""y"":754},{""x"":934,""y"":723},{""x"":836,""y"":696},{""x"":746,""y"":668},{""x"":632,""y"":629},{""x"":561,""y"":639},{""x"":492,""y"":670},{""x"":378,""y"":690},{""x"":245,""y"":717},{""x"":127,""y"":757},{""x"":0,""y"":788}]}]}",gliu2@stanford.edu,Multispectral Imaging,1555707554000,1555709515000,112.822,Nerve_arriwhite20_fIRon.png,,,,,FreshCadaver001_20190412,"[{""id"":""cjuola0w5dz4c0987tnsfs6oq"",""score"":1,""createdAt"":""2019-04-19T21:31:56.000Z"",""createdBy"":""jshenson@stanford.edu""}]",https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuok3yu7e3wy0818mtb9c1qv,"{""Nerve"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2szeXU3ZTN3eTA4MThtdGI5YzFxdiIsImNsYXNzTmFtZSI6Ik5lcnZlIiwiaWF0IjoxNTU5NzU0OTk3LCJleHAiOjE3MTc0MzQ5OTd9.ExCqML0PJBI-YnSAEQDK8snue5hfSl3Em6fdrxh8B_0""}"
cjuoldh8fdiaz07555nhzd5v7,cjuoi1zrm14yk0bqpvlbk37bv,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2F0e4865b6-50c0-20d9-905c-27c815c3c7ad-Fat_arriwhite20_fIRon.png,"{""Fat"":[{""geometry"":[{""x"":594,""y"":1},{""x"":520,""y"":73},{""x"":541,""y"":133},{""x"":558,""y"":187},{""x"":548,""y"":219},{""x"":508,""y"":235},{""x"":459,""y"":234},{""x"":387,""y"":247},{""x"":344,""y"":252},{""x"":307,""y"":265},{""x"":265,""y"":297},{""x"":253,""y"":333},{""x"":248,""y"":363},{""x"":228,""y"":388},{""x"":205,""y"":437},{""x"":210,""y"":462},{""x"":202,""y"":524},{""x"":213,""y"":556},{""x"":228,""y"":598},{""x"":255,""y"":634},{""x"":262,""y"":678},{""x"":294,""y"":733},{""x"":332,""y"":783},{""x"":384,""y"":827},{""x"":416,""y"":875},{""x"":435,""y"":910},{""x"":460,""y"":945},{""x"":505,""y"":981},{""x"":589,""y"":1022},{""x"":645,""y"":1019},{""x"":717,""y"":1036},{""x"":828,""y"":1049},{""x"":890,""y"":1057},{""x"":940,""y"":1046},{""x"":1002,""y"":1056},{""x"":1060,""y"":1079},{""x"":1359,""y"":1079},{""x"":1334,""y"":1036},{""x"":1362,""y"":1028},{""x"":1440,""y"":1024},{""x"":1499,""y"":1007},{""x"":1586,""y"":971},{""x"":1651,""y"":907},{""x"":1685,""y"":867},{""x"":1703,""y"":802},{""x"":1688,""y"":748},{""x"":1678,""y"":716},{""x"":1686,""y"":665},{""x"":1702,""y"":620},{""x"":1740,""y"":590},{""x"":1785,""y"":552},{""x"":1828,""y"":516},{""x"":1841,""y"":489},{""x"":1840,""y"":379},{""x"":1815,""y"":347},{""x"":1766,""y"":322},{""x"":1707,""y"":302},{""x"":1685,""y"":299},{""x"":1635,""y"":312},{""x"":1582,""y"":331},{""x"":1514,""y"":335},{""x"":1492,""y"":347},{""x"":1428,""y"":302},{""x"":1395,""y"":222},{""x"":1383,""y"":94},{""x"":1370,""y"":10},{""x"":1355,""y"":0}]}]}",jshenson@stanford.edu,Multispectral Imaging,1555709677000,1555709677000,147.387,Fat_arriwhite20_fIRon.png,,,,,FreshCadaver002_20190418,[],https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuoldh8fdiaz07555nhzd5v7,"{""Fat"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2xkaDhmZGlhejA3NTU1bmh6ZDV2NyIsImNsYXNzTmFtZSI6IkZhdCIsImlhdCI6MTU1OTc1NDk5NywiZXhwIjoxNzE3NDM0OTk3fQ.pksNZH9eMMz_zQTWUh365Q_5GpfcJrMl6ZHlvANfL7U""}"
cjuolez4ba9ro09449xbx6wtl,cjuoi1zrm14yo0bqp2a4catan,https://storage.googleapis.com/labelbox-193903.appspot.com/cju8qjb1t20p10801sb8fh24p%2F42992086-022b-bada-558f-9f713e9ee977-Muscle_arriwhite20_fIRon.png,"{""Muscle"":[{""geometry"":[{""x"":236,""y"":0},{""x"":218,""y"":37},{""x"":208,""y"":82},{""x"":227,""y"":117},{""x"":240,""y"":162},{""x"":247,""y"":219},{""x"":247,""y"":247},{""x"":288,""y"":273},{""x"":313,""y"":303},{""x"":302,""y"":418},{""x"":334,""y"":482},{""x"":336,""y"":559},{""x"":289,""y"":672},{""x"":330,""y"":744},{""x"":369,""y"":806},{""x"":392,""y"":837},{""x"":430,""y"":895},{""x"":491,""y"":922},{""x"":548,""y"":941},{""x"":595,""y"":955},{""x"":662,""y"":987},{""x"":753,""y"":1020},{""x"":809,""y"":1053},{""x"":876,""y"":1078},{""x"":1182,""y"":1075},{""x"":1260,""y"":999},{""x"":1314,""y"":971},{""x"":1358,""y"":961},{""x"":1418,""y"":912},{""x"":1446,""y"":875},{""x"":1469,""y"":794},{""x"":1495,""y"":763},{""x"":1517,""y"":699},{""x"":1516,""y"":656},{""x"":1521,""y"":615},{""x"":1550,""y"":563},{""x"":1586,""y"":486},{""x"":1614,""y"":413},{""x"":1663,""y"":360},{""x"":1705,""y"":323},{""x"":1731,""y"":285},{""x"":1764,""y"":252},{""x"":1746,""y"":206},{""x"":1744,""y"":169},{""x"":1733,""y"":154},{""x"":1725,""y"":108},{""x"":1733,""y"":84},{""x"":1717,""y"":42},{""x"":1688,""y"":10},{""x"":1676,""y"":0}]}]}",jshenson@stanford.edu,Multispectral Imaging,1555709747000,1555709747000,69.568,Muscle_arriwhite20_fIRon.png,,,,,FreshCadaver002_20190418,[],https://image-segmentation-v4.labelbox.com?project=cjuog5nqqbeca0987cdpzb7ty&label=cjuolez4ba9ro09449xbx6wtl,"{""Muscle"":""https://faas-gateway.labelbox.com/function/mask-exporter?jwt=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJsYWJlbElkIjoiY2p1b2xlejRiYTlybzA5NDQ5eGJ4Nnd0bCIsImNsYXNzTmFtZSI6Ik11c2NsZSIsImlhdCI6MTU1OTc1NDk5NywiZXhwIjoxNzE3NDM0OTk3fQ.akjhqwFXZmY3rn9Z_mPNVlUtnDkwZXKJaWQWjREGPRI""}"
